id,date,description,amount,type,category,vendor,risk_level
TXN-0334,2024-06-16,Infrastructure #334,4549.95,expense,Infrastructure,AWS,low
TXN-0335,2024-05-04,Marketing #335,2125.55,expense,Marketing,Meta Ads,low
TXN-0336,2024-07-01,License Revenue #336,4964.2,income,License Revenue,Direct,low
TXN-0337,2024-07-17,Marketing #337,54407.53,expense,Marketing,Meta Ads,low
TXN-0338,2024-09-03,Consulting #338,3633.55,income,Consulting,Direct,low
TXN-0339,2024-07-22,Infrastructure #339,4404.72,expense,Infrastructure,AWS,low
TXN-0340,2024-02-15,Infrastructure #340,11783.72,expense,Infrastructure,AWS,low
TXN-0341,2024-01-26,Infrastructure #341,624.23,expense,Infrastructure,AWS,low
TXN-0342,2024-07-08,Infrastructure #342,2148.91,expense,Infrastructure,AWS,low
TXN-0343,2024-05-15,Consulting #343,4954.63,income,Consulting,Direct,low
TXN-0344,2024-04-08,Marketing #344,25594.59,expense,Marketing,Meta Ads,low
TXN-0345,2024-03-15,Infrastructure #345,16200.85,expense,Infrastructure,AWS,low
TXN-0346,2024-04-15,License Revenue #346,33403.87,income,License Revenue,Direct,low
TXN-0347,2024-03-29,Payroll #347,1394.21,expense,Payroll,Gusto,low
TXN-0348,2024-01-29,Marketing #348,10545.28,expense,Marketing,Meta Ads,low
TXN-0349,2024-07-17,Infrastructure #349,3924.04,expense,Infrastructure,AWS,low
TXN-0350,2024-06-23,SaaS Revenue #350,53975.82,income,SaaS Revenue,Stripe,low
TXN-0351,2024-07-28,Payroll #351,30971.32,expense,Payroll,Gusto,low
TXN-0352,2024-05-15,Operations #352,4462.37,expense,Operations,Various,low
TXN-0353,2024-03-04,Operations #353,10144.53,expense,Operations,Various,low
TXN-0354,2024-08-20,License Revenue #354,16602.77,income,License Revenue,Direct,low
TXN-0355,2024-04-06,Consulting #355,23669.75,income,Consulting,Direct,low
TXN-0356,2024-01-30,Marketing #356,34168.51,expense,Marketing,Meta Ads,low
TXN-0357,2024-01-31,Operations #357,23648.41,expense,Operations,Various,low
TXN-0358,2024-01-28,SaaS Revenue #358,15149.16,income,SaaS Revenue,Stripe,low
TXN-0359,2024-08-23,Operations #359,10128.94,expense,Operations,Various,low
TXN-0360,2024-06-15,Operations #360,4097.66,expense,Operations,Various,low
TXN-0361,2024-09-15,Payroll #361,3168.96,expense,Payroll,Gusto,low
TXN-0362,2024-09-17,Infrastructure #362,6791.63,expense,Infrastructure,AWS,low
TXN-0363,2024-02-23,Consulting #363,12367.25,income,Consulting,Direct,low
TXN-0364,2024-05-15,Infrastructure #364,24557.88,expense,Infrastructure,AWS,low
TXN-0365,2024-05-25,Consulting #365,2516.41,income,Consulting,Direct,low
TXN-0366,2024-06-23,Operations #366,1151.32,expense,Operations,Various,low
TXN-0367,2024-07-08,Payroll #367,37690.73,expense,Payroll,Gusto,low
TXN-0368,2024-01-08,Infrastructure #368,1401.29,expense,Infrastructure,AWS,low
TXN-0369,2024-07-04,Marketing #369,45154.98,expense,Marketing,Meta Ads,low
TXN-0370,2024-01-05,Operations #370,6759.77,expense,Operations,Various,high
TXN-0371,2024-11-08,License Revenue #371,7724.14,income,License Revenue,Direct,low
TXN-0372,2024-03-24,License Revenue #372,16496.92,income,License Revenue,Direct,low
TXN-0373,2024-04-14,Payroll #373,4258.45,expense,Payroll,Gusto,low
TXN-0374,2024-05-02,License Revenue #374,10639.63,income,License Revenue,Direct,low
TXN-0375,2024-10-19,SaaS Revenue #375,82051.47,income,SaaS Revenue,Stripe,low
TXN-0376,2024-04-29,SaaS Revenue #376,167771.81,income,SaaS Revenue,Stripe,low
TXN-0377,2024-04-17,Operations #377,4839.18,expense,Operations,Various,high
TXN-0378,2024-04-10,Operations #378,62628.7,expense,Operations,Various,low
TXN-0379,2024-11-10,Marketing #379,4308.95,expense,Marketing,Meta Ads,low
TXN-0380,2024-01-04,Marketing #380,2492.91,expense,Marketing,Meta Ads,low
TXN-0381,2024-04-26,Operations #381,29050.81,expense,Operations,Various,low
TXN-0382,2024-05-07,Payroll #382,2523.94,expense,Payroll,Gusto,low
TXN-0383,2024-09-24,Marketing #383,1062.73,expense,Marketing,Meta Ads,medium
TXN-0384,2024-03-21,License Revenue #384,39366.13,income,License Revenue,Direct,low
TXN-0385,2024-07-28,License Revenue #385,67244.64,income,License Revenue,Direct,low
TXN-0386,2024-10-23,Operations #386,3896.94,expense,Operations,Various,low
TXN-0387,2024-02-23,Consulting #387,36906.33,income,Consulting,Direct,low
TXN-0388,2024-09-11,Marketing #388,1524.1,expense,Marketing,Meta Ads,low
TXN-0389,2024-08-21,Payroll #389,41650.55,expense,Payroll,Gusto,low
TXN-0390,2024-10-07,License Revenue #390,50005.81,income,License Revenue,Direct,low
TXN-0391,2024-09-15,Operations #391,4204.51,expense,Operations,Various,low
TXN-0392,2024-09-30,Operations #392,3455.06,expense,Operations,Various,medium
TXN-0393,2024-11-14,Marketing #393,3903.89,expense,Marketing,Meta Ads,low
TXN-0394,2024-10-26,Operations #394,7199.56,expense,Operations,Various,low
TXN-0395,2024-02-23,Payroll #395,8551.6,expense,Payroll,Gusto,high
TXN-0396,2024-08-25,Payroll #396,99112.51,expense,Payroll,Gusto,low
TXN-0397,2024-11-12,Infrastructure #397,8431.96,expense,Infrastructure,AWS,low
TXN-0398,2024-03-03,License Revenue #398,34197.09,income,License Revenue,Direct,low
TXN-0399,2024-03-07,Consulting #399,14747.18,income,Consulting,Direct,low
TXN-0400,2024-10-04,Marketing #400,1223.95,expense,Marketing,Meta Ads,low
TXN-0401,2024-11-10,Payroll #401,10617.45,expense,Payroll,Gusto,low
TXN-0402,2024-11-16,Consulting #402,329887.11,income,Consulting,Direct,low
TXN-0403,2024-05-08,Payroll #403,7890.49,expense,Payroll,Gusto,low
TXN-0404,2024-11-09,Infrastructure #404,8993.75,expense,Infrastructure,AWS,low
TXN-0405,2024-07-29,Infrastructure #405,19251.18,expense,Infrastructure,AWS,medium
TXN-0406,2024-07-31,Infrastructure #406,13266.63,expense,Infrastructure,AWS,low
TXN-0407,2024-02-17,Operations #407,17441.61,expense,Operations,Various,low
TXN-0408,2024-06-01,Operations #408,451.68,expense,Operations,Various,low
TXN-0409,2024-03-11,Marketing #409,75211.89,expense,Marketing,Meta Ads,low
TXN-0410,2024-05-14,Operations #410,8168.53,expense,Operations,Various,low
TXN-0411,2024-10-12,Marketing #411,1174.23,expense,Marketing,Meta Ads,low
TXN-0412,2024-07-27,Infrastructure #412,16582.65,expense,Infrastructure,AWS,low
TXN-0413,2024-04-25,Consulting #413,18986.65,income,Consulting,Direct,low
TXN-0414,2024-07-15,License Revenue #414,5549.53,income,License Revenue,Direct,low
TXN-0415,2024-05-19,License Revenue #415,7709.43,income,License Revenue,Direct,low
TXN-0416,2024-01-27,Operations #416,7280.12,expense,Operations,Various,low
TXN-0417,2024-06-23,Infrastructure #417,7037.86,expense,Infrastructure,AWS,medium
TXN-0418,2024-11-20,SaaS Revenue #418,77220.57,income,SaaS Revenue,Stripe,low
TXN-0419,2024-08-24,SaaS Revenue #419,20130.81,income,SaaS Revenue,Stripe,low
TXN-0420,2024-08-02,SaaS Revenue #420,6904.44,income,SaaS Revenue,Stripe,low
TXN-0421,2024-06-11,Marketing #421,33902.35,expense,Marketing,Meta Ads,low
TXN-0422,2024-05-17,SaaS Revenue #422,13668.34,income,SaaS Revenue,Stripe,low
TXN-0423,2024-08-24,License Revenue #423,34593.46,income,License Revenue,Direct,low
TXN-0424,2024-08-28,Consulting #424,95117.13,income,Consulting,Direct,low
TXN-0425,2024-06-18,License Revenue #425,4827.85,income,License Revenue,Direct,low
TXN-0426,2024-10-29,SaaS Revenue #426,10839.93,income,SaaS Revenue,Stripe,low
TXN-0427,2024-10-02,SaaS Revenue #427,7845.9,income,SaaS Revenue,Stripe,low
TXN-0428,2024-08-02,Payroll #428,6717.08,expense,Payroll,Gusto,low
TXN-0429,2024-02-05,Infrastructure #429,3724.44,expense,Infrastructure,AWS,low
TXN-0430,2024-06-15,Infrastructure #430,2954.71,expense,Infrastructure,AWS,low
TXN-0431,2024-10-30,Operations #431,18411.51,expense,Operations,Various,low
TXN-0432,2024-02-12,License Revenue #432,24864.87,income,License Revenue,Direct,low
TXN-0433,2024-10-16,Marketing #433,2781.19,expense,Marketing,Meta Ads,low
TXN-0434,2024-05-28,Marketing #434,5279.18,expense,Marketing,Meta Ads,low
TXN-0435,2024-09-20,Operations #435,39561.27,expense,Operations,Various,low
TXN-0436,2024-03-11,Infrastructure #436,69813.93,expense,Infrastructure,AWS,low
TXN-0437,2024-09-14,License Revenue #437,24850.47,income,License Revenue,Direct,low
TXN-0438,2024-07-02,Marketing #438,1289.7,expense,Marketing,Meta Ads,low
TXN-0439,2024-07-23,SaaS Revenue #439,2055.29,income,SaaS Revenue,Stripe,low
TXN-0440,2024-02-23,Infrastructure #440,12695.42,expense,Infrastructure,AWS,low
TXN-0441,2024-09-16,Infrastructure #441,44850.54,expense,Infrastructure,AWS,low
TXN-0442,2024-07-31,Marketing #442,3546.39,expense,Marketing,Meta Ads,low
TXN-0443,2024-11-26,Payroll #443,3632.9,expense,Payroll,Gusto,low
TXN-0444,2024-11-08,Consulting #444,13223.74,income,Consulting,Direct,low
TXN-0445,2024-08-16,Marketing #445,8872.66,expense,Marketing,Meta Ads,low
TXN-0446,2024-05-09,SaaS Revenue #446,14177.3,income,SaaS Revenue,Stripe,low
TXN-0447,2024-07-15,SaaS Revenue #447,17060.62,income,SaaS Revenue,Stripe,low
TXN-0448,2024-05-05,Consulting #448,6155.87,income,Consulting,Direct,low
TXN-0449,2024-06-24,Consulting #449,47922.86,income,Consulting,Direct,low
TXN-0450,2024-02-08,Infrastructure #450,742.32,expense,Infrastructure,AWS,low
TXN-0451,2024-06-28,Infrastructure #451,35966.21,expense,Infrastructure,AWS,low
TXN-0452,2024-08-22,Marketing #452,2779.76,expense,Marketing,Meta Ads,high
TXN-0453,2024-06-05,Operations #453,25418.46,expense,Operations,Various,low
TXN-0454,2024-03-20,Marketing #454,40539.81,expense,Marketing,Meta Ads,low
TXN-0455,2024-05-18,Payroll #455,14755.51,expense,Payroll,Gusto,low
TXN-0456,2024-03-18,Operations #456,2531.18,expense,Operations,Various,low
TXN-0457,2024-09-14,SaaS Revenue #457,21732.35,income,SaaS Revenue,Stripe,low
TXN-0458,2024-11-17,Marketing #458,29756.6,expense,Marketing,Meta Ads,low
TXN-0459,2024-05-16,SaaS Revenue #459,10121.66,income,SaaS Revenue,Stripe,low
TXN-0460,2024-03-24,Operations #460,37134.91,expense,Operations,Various,low
TXN-0461,2024-02-14,Marketing #461,5291.16,expense,Marketing,Meta Ads,low
TXN-0462,2024-01-11,Consulting #462,7686.32,income,Consulting,Direct,low
TXN-0463,2024-06-30,SaaS Revenue #463,8559.38,income,SaaS Revenue,Stripe,low
TXN-0464,2024-09-24,Consulting #464,88396.78,income,Consulting,Direct,low
TXN-0465,2024-04-19,Payroll #465,8868.94,expense,Payroll,Gusto,low
TXN-0466,2024-08-09,Payroll #466,12059.98,expense,Payroll,Gusto,low
TXN-0467,2024-09-03,Payroll #467,3657.32,expense,Payroll,Gusto,low
TXN-0468,2024-01-16,SaaS Revenue #468,10931.6,income,SaaS Revenue,Stripe,low
TXN-0469,2024-11-04,Marketing #469,4341.41,expense,Marketing,Meta Ads,low
TXN-0470,2024-06-09,License Revenue #470,4554.9,income,License Revenue,Direct,low
TXN-0471,2024-06-22,Operations #471,3729.2,expense,Operations,Various,low
TXN-0472,2024-08-24,Consulting #472,62769.47,income,Consulting,Direct,low
TXN-0473,2024-08-04,Operations #473,23126.63,expense,Operations,Various,low
TXN-0474,2024-08-07,Infrastructure #474,16815.72,expense,Infrastructure,AWS,low
TXN-0475,2024-03-22,Infrastructure #475,673.78,expense,Infrastructure,AWS,low
TXN-0476,2024-08-22,Marketing #476,777.91,expense,Marketing,Meta Ads,low
TXN-0477,2024-04-28,Payroll #477,29970.18,expense,Payroll,Gusto,low
TXN-0478,2024-09-03,Infrastructure #478,818.11,expense,Infrastructure,AWS,low
TXN-0479,2024-01-19,SaaS Revenue #479,9259.73,income,SaaS Revenue,Stripe,low
TXN-0480,2024-06-30,Marketing #480,2638.98,expense,Marketing,Meta Ads,low
TXN-0481,2024-05-12,License Revenue #481,15078.91,income,License Revenue,Direct,low
TXN-0482,2024-06-20,Marketing #482,11954.0,expense,Marketing,Meta Ads,low
TXN-0483,2024-07-07,SaaS Revenue #483,5869.73,income,SaaS Revenue,Stripe,low
TXN-0484,2024-05-15,SaaS Revenue #484,13220.76,income,SaaS Revenue,Stripe,low
TXN-0485,2024-08-04,License Revenue #485,1753.33,income,License Revenue,Direct,low
TXN-0486,2024-03-24,Payroll #486,3486.04,expense,Payroll,Gusto,medium
TXN-0487,2024-01-28,Infrastructure #487,1445.35,expense,Infrastructure,AWS,high
TXN-0488,2024-10-12,Operations #488,14411.41,expense,Operations,Various,low
TXN-0489,2024-07-31,Marketing #489,20551.49,expense,Marketing,Meta Ads,low
TXN-0490,2024-03-26,License Revenue #490,49041.37,income,License Revenue,Direct,low
TXN-0491,2024-01-24,Infrastructure #491,1169.84,expense,Infrastructure,AWS,high
TXN-0492,2024-03-03,Consulting #492,17212.52,income,Consulting,Direct,low
TXN-0493,2024-05-19,Infrastructure #493,1127.89,expense,Infrastructure,AWS,low
TXN-0494,2024-07-07,Infrastructure #494,4655.22,expense,Infrastructure,AWS,low
TXN-0495,2024-01-10,Operations #495,1216.17,expense,Operations,Various,low
TXN-0496,2024-01-27,Payroll #496,25038.76,expense,Payroll,Gusto,medium
TXN-0497,2024-06-27,SaaS Revenue #497,41436.33,income,SaaS Revenue,Stripe,low
TXN-0498,2024-08-11,Infrastructure #498,2281.32,expense,Infrastructure,AWS,low
TXN-0499,2024-03-01,Payroll #499,2702.7,expense,Payroll,Gusto,low
TXN-0500,2024-01-31,License Revenue #500,12865.59,income,License Revenue,Direct,low
